first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
anbulalité,anbulalité,prss,bul,in,al_ité,inbulalité,target,p,0.0,0,i,a,anbulalité,2,10,pseudo
nilansfi,nilansfi,prs,lans,ni,fi,nilansfi,control,r,,1,a,u,nilunsfi,0,8,pseudo
contreclôt,contreclôd,pr,clôt,contre,,contreclôt,target,r,,3,t,d,contreclôd,1,10,pseudo
clôtalité,clôtalité,rss,clôt,,al_ité,clôtalité,target,r,,2,ô,e,cletalité,0,9,pseudo
inbunent,inbunent,prs,bul,in,ent,inbulent,target,r,,2,l,n,inbunent,2,8,pseudo
erlifpaoin,erliftaoin,prss,lif,er,ta_oin,erliftaoin,control,s,0.0,0,t,p,erlifpaoin,3,10,pseudo
nilifisel,nilifisem,prs,lif,ni,isem,nilifisem,control,s,0.0,3,m,l,nilifisel,3,9,pseudo
sésensaler,désensaler,pprs,sal,dés_en,er,désensaler,target,p,0.0,0,d,s,sésensaler,3,10,pseudo
lamtoid,lamtoid,pr,toid,lam,,lamtoid,control,p,0.0,0,l,j,jamtoid,0,7,pseudo
naun,jaun,r,jaun,,,jaun,target,r,,0,j,n,naun,3,4,pseudo
erméltaoin,erméltaoin,prss,mél,er,ta_oin,erméltaoin,control,s,1.0,1,i,a,erméltaoan,0,10,pseudo
ertiocoun,ertiocoun,prs,tioc,er,oin,ertiocoin,control,s,0.0,1,i,u,ertiocoun,2,9,pseudo
arédméleag,erédméleag,pprs,mél,er_éd,eag,erédméleag,control,p,0.0,0,e,a,arédméleag,3,10,pseudo
tret,trat,r,tret,,,tret,control,r,,2,e,a,trat,1,4,pseudo
préresal,préresal,ppr,san,pré_re,,préresan,target,r,,2,n,l,préresal,2,8,pseudo
erédroqu,eredroqu,ppr,roqu,er_éd,,erédroqu,control,p,1.0,0,é,e,eredroqu,1,8,pseudo
édroun,édroun,pr,roun,éd,,édroun,control,p,0.0,1,d,t,étroun,0,6,pseudo
tron,cron,r,tron,,,tron,target,r,,0,t,c,cron,1,4,pseudo
redécoit,redécoit,ppr,coit,re_dé,,redécoit,target,r,,0,c,b,redéboit,0,8,pseudo
niloudarie,niloudarie,prs,loud,ni,arie,niloudarie,control,s,0.0,0,a,i,niloudirie,0,10,pseudo
foiraire,foirairu,rs,foir,,aire,foiraire,target,s,0.0,3,e,u,foirairu,1,8,pseudo
désansaner,désensaner,pprs,san,dés_en,er,désensaner,target,p,1.0,0,e,a,désansaner,3,10,pseudo
