first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
inlélivité,inlémivité,prss,lém,in,iv_ité,inlémivité,target,r,,2,m,l,inlélivité,3,10,pseudo
inbulude,infulude,prs,bul,in,ude,inbulude,target,r,,0,b,f,infulude,1,8,pseudo
miérptrec,miérptrec,ppr,trec,mi_érp,,miérptrec,control,p,0.0,1,i,e,meérptrec,0,9,pseudo
erredtaoin,erredtaoin,prss,rid,er,ta_oin,erridtaoin,control,r,,1,i,e,erredtaoin,2,10,pseudo
nirentinas,nirentinas,ppr,nas,ni_renti,,nirentinas,control,p,1.0,1,e,o,nirontinas,0,10,pseudo
senalement,senalement,rss,san,,ale_ment,sanalement,target,r,,1,a,e,senalement,2,10,pseudo
diotif,diotof,rs,diot,,if,diotif,target,s,0.0,0,i,o,diotof,1,6,pseudo
redication,redacation,prss,dic,re,at_ion,redication,target,r,,1,i,a,redacation,1,10,pseudo
necidlatié,necidlatié,prss,cid,ni,la_tié,nicidlatié,control,p,0.0,1,i,e,necidlatié,2,10,pseudo
micodvitié,micodvitié,prss,fod,mi,vi_tié,mifodvitié,control,r,,0,f,c,micodvitié,2,10,pseudo
erédlaseag,erédlaseag,pprs,las,er_éd,eag,erédlaseag,control,p,1.0,0,é,i,eridlaseag,0,10,pseudo
roqu,roqu,r,roqu,,,roqu,control,r,,3,u,a,roqa,0,4,pseudo
prélém,prélem,pr,lém,pré,,prélém,target,r,,1,é,e,prélem,1,6,pseudo
idméleru,édméleru,prs,mél,éd,eru,édméleru,control,p,0.0,0,é,i,idméleru,3,8,pseudo
nièmamment,nièmamment,rss,nièr,,am_ment,nièramment,target,r,,3,r,m,nièmamment,2,10,pseudo
ilcrus,imcrus,pr,crus,im,,imcrus,target,p,0.0,1,m,l,ilcrus,3,6,pseudo
redédirage,redésirage,pprs,dir,re_dé,age,redédirage,target,r,,0,d,s,redésirage,1,10,pseudo
préremaun,préremaun,ppr,jaun,pré_re,,prérejaun,target,r,,0,j,m,préremaun,2,9,pseudo
